name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
The Shining,R,Drama,1980,"June 13, 1980 (United States)",8.4,927000,STANLEY KUBRICK,Stephen King,Jack Nicholson,UNITED KINGDOM,19000000,46998772.0,Warner Bros.,"146.0,"
The Blue Lagoon,R,Adventure,1980,"July 2, 1980 (United States)",5.8,65000,RANDAL KLEISER,Henry De Vere Stacpoole,Brooke Shields,UNITED STATES,4500000,58853106.0,Columbia Pictures,"104.0,"
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,"June 20, 1980 (United States)",8.7,1200000,IRVIN KERSHNER,Leigh Brackett,Mark Hamill,UNITED STATES,18000000,538375067.0,Lucasfilm,"124.0,"
Airplane!,PG,Comedy,1980,"July 2, 1980 (United States)",7.7,221000,JIM ABRAHAMS,Jim Abrahams,Robert Hays,UNITED STATES,3500000,83453539.0,Paramount Pictures,"88.0,"
Caddyshack,R,Comedy,1980,"July 25, 1980 (United States)",7.3,108000,HAROLD RAMIS,Brian Doyle-Murray,Chevy Chase,UNITED STATES,6000000,39846344.0,Orion Pictures,"98.0,"
Friday the 13th,R,Horror,1980,"May 9, 1980 (United States)",6.4,123000,SEAN S. CUNNINGHAM,Victor Miller,Betsy Palmer,UNITED STATES,550000,39754601.0,Paramount Pictures,"95.0,"
The Blues Brothers,R,Action,1980,"June 20, 1980 (United States)",7.9,188000,JOHN LANDIS,Dan Aykroyd,John Belushi,UNITED STATES,27000000,115229890.0,Universal Pictures,"133.0,"
Raging Bull,R,Biography,1980,"December 19, 1980 (United States)",8.2,330000,MARTIN SCORSESE,Jake LaMotta,Robert De Niro,UNITED STATES,18000000,23402427.0,Chartoff-Winkler Productions,"129.0,"
Superman II,PG,Action,1980,"June 19, 1981 (United States)",6.8,101000,RICHARD LESTER,Jerry Siegel,Gene Hackman,UNITED STATES,54000000,108185706.0,Dovemead Films,"127.0,"
The Long Riders,R,Biography,1980,"May 16, 1980 (United States)",7.0,10000,WALTER HILL,Bill Bryden,David Carradine,UNITED STATES,10000000,15795189.0,United Artists,"100.0,"
Any Which Way You Can,PG,Action,1980,"December 17, 1980 (United States)",6.1,18000,BUDDY VAN HORN,Stanford Sherman,Clint Eastwood,UNITED STATES,15000000,70687344.0,The Malpaso Company,"116.0,"
The Gods Must Be Crazy,PG,Adventure,1980,"October 26, 1984 (United States)",7.3,54000,JAMIE UYS,Jamie Uys,N!xau,SOUTH AFRICA,5000000,30031783.0,C.A.T. Films,"109.0,"
Popeye,PG,Adventure,1980,"December 12, 1980 (United States)",5.3,30000,ROBERT ALTMAN,Jules Feiffer,Robin Williams,UNITED STATES,20000000,49823037.0,Paramount Pictures,"114.0,"
Ordinary People,R,Drama,1980,"September 19, 1980 (United States)",7.7,49000,ROBERT REDFORD,Judith Guest,Donald Sutherland,UNITED STATES,6000000,54766923.0,Paramount Pictures,"124.0,"
